#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,Garage,Slot,_field,_measurement
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,858.9342105263158,Garage1,Slot1,value,distance
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,490.2280701754386,Garage1,Slot1,value,distance
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,1386.6949152542372,Garage1,Slot1,value,distance
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,387,Garage1,Slot1,value,distance
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,283.45,Garage1,Slot1,value,distance
,,0,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,283.1666666666667,Garage1,Slot1,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T00:30:00Z,50.295103092783506,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T22:30:00Z,1753.7692307692307,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T23:00:00Z,2108.1525423728813,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T23:30:00Z,2255.3333333333335,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,879.5357142857143,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,245.1140350877193,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,693.3474576271186,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,193.5,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,141.725,Garage1,Slot2,value,distance
,,1,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,141.58333333333334,Garage1,Slot2,value,distance
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,0.6666666666666666,Garage1,Slot1,value,motion
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,1,Garage1,Slot1,value,motion
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,1,Garage1,Slot1,value,motion
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,0.9622641509433962,Garage1,Slot1,value,motion
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,1,Garage1,Slot1,value,motion
,,2,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,1,Garage1,Slot1,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T00:30:00Z,50.87765614938828,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T22:30:00Z,0.5,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T23:00:00Z,0.5,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,0,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,0,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,0,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,0.037037037037037035,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,0,Garage1,Slot2,value,motion
,,3,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,0,Garage1,Slot2,value,motion
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,0.3684210526315789,Garage1,Slot1,value,occ
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,0.5087719298245614,Garage1,Slot1,value,occ
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,0.9830508474576272,Garage1,Slot1,value,occ
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,0.5555555555555556,Garage1,Slot1,value,occ
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,1,Garage1,Slot1,value,occ
,,4,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,1,Garage1,Slot1,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T22:30:00Z,0.19230769230769232,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T23:00:00Z,0.06779661016949153,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-07T23:30:00Z,0,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:00:00Z,0.7857142857142857,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T14:30:00Z,0.6842105263157895,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:00:00Z,0.9830508474576272,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T15:30:00Z,0.5370370370370371,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:00:00Z,1,Garage1,Slot2,value,occ
,,5,2021-07-06T17:53:09.0021904Z,2021-07-13T17:53:09.0021904Z,2021-07-08T16:30:00Z,1,Garage1,Slot2,value,occ

